epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,42759.3,0.34327,0.29504,0.8263,0.99944,1,0.995,0.98896,0.20784,0.20935,0.76491,0.0004952,0.0004952,0.0004952
40,44071.5,0.31493,0.27068,0.82872,0.99934,1,0.995,0.99106,0.18603,0.20099,0.76231,0.0004556,0.0004556,0.0004556
41,44798.9,0.24504,0.22847,0.77761,0.9992,1,0.995,0.98205,0.21771,0.20943,0.7651,0.000416,0.000416,0.000416
42,45383.2,0.27987,0.24706,0.77879,0.99918,1,0.995,0.99151,0.21069,0.2116,0.76389,0.0003764,0.0003764,0.0003764
43,46431.4,0.24682,0.23744,0.77882,0.99934,1,0.995,0.98502,0.22502,0.20998,0.76524,0.0003368,0.0003368,0.0003368
44,47079.9,0.25556,0.23472,0.78554,0.99932,1,0.995,0.98891,0.2033,0.19892,0.76373,0.0002972,0.0002972,0.0002972
45,47972.1,0.25,0.22878,0.79298,0.99937,1,0.995,0.98746,0.20153,0.19388,0.76325,0.0002576,0.0002576,0.0002576
46,48953.5,0.23684,0.21951,0.78205,0.99934,1,0.995,0.99093,0.18974,0.18696,0.76234,0.000218,0.000218,0.000218
47,50747.2,0.22458,0.21629,0.78847,0.99936,1,0.995,0.9911,0.17338,0.17511,0.76144,0.0001784,0.0001784,0.0001784
48,51247.6,0.23317,0.21058,0.77141,0.99941,1,0.995,0.99261,0.17205,0.17367,0.76065,0.0001388,0.0001388,0.0001388
49,51581.7,0.21625,0.20831,0.76977,0.99938,1,0.995,0.99274,0.17339,0.17642,0.76086,9.92e-05,9.92e-05,9.92e-05
50,51924.2,0.20579,0.19923,0.76798,0.99936,1,0.995,0.99286,0.16715,0.1707,0.75989,5.96e-05,5.96e-05,5.96e-05
